Rank 0 k8N5R_4j3Vc|| PageRank Score: 0.000285525|| Category: Sports|| Length: 281|| Views: 13133|| Ratings: 37|| Rate: 4.78|| Comments: 0
Rank 1 CKGgq3-trYQ|| PageRank Score: 0.000282826|| Category: Sports|| Length: 210|| Views: 2323|| Ratings: 20|| Rate: 4.7|| Comments: 18
Rank 2 q1TOMScEECA|| PageRank Score: 0.000282826|| Category: Sports|| Length: 231|| Views: 4586|| Ratings: 39|| Rate: 4.59|| Comments: 24
Rank 3 8ZV1hniMG30|| PageRank Score: 0.000282826|| Category: Sports|| Length: 180|| Views: 5101|| Ratings: 13|| Rate: 4.46|| Comments: 24
Rank 4 5cao7_WbCaA|| PageRank Score: 0.000282826|| Category: Sports|| Length: 196|| Views: 5835|| Ratings: 22|| Rate: 4.14|| Comments: 10
Rank 5 yvTi9lI4-BE|| PageRank Score: 0.000282826|| Category: Sports|| Length: 123|| Views: 10526|| Ratings: 36|| Rate: 4.47|| Comments: 1
Rank 6 3mbbdw442X4|| PageRank Score: 0.000282826|| Category: Sports|| Length: 197|| Views: 12050|| Ratings: 30|| Rate: 4.67|| Comments: 4
Rank 7 Osg6tJqTCq0|| PageRank Score: 0.000282826|| Category: Sports|| Length: 240|| Views: 22679|| Ratings: 62|| Rate: 4.74|| Comments: 57
Rank 8 gzIYExA6u34|| PageRank Score: 0.000282826|| Category: Sports|| Length: 221|| Views: 9936|| Ratings: 10|| Rate: 4.4|| Comments: 0
Rank 9 cnBhYg46-Ac|| PageRank Score: 0.000282826|| Category: Sports|| Length: 195|| Views: 13415|| Ratings: 45|| Rate: 4.27|| Comments: 0
Rank 10 Op8CXhTexZk|| PageRank Score: 0.000282826|| Category: Sports|| Length: 176|| Views: 5596|| Ratings: 20|| Rate: 5|| Comments: 6
Rank 11 VAneSkXUR5M|| PageRank Score: 0.000282826|| Category: Sports|| Length: 112|| Views: 3314|| Ratings: 21|| Rate: 4.14|| Comments: 14
Rank 12 wsm84XyPAIA|| PageRank Score: 0.000282826|| Category: Sports|| Length: 182|| Views: 7207|| Ratings: 14|| Rate: 4.71|| Comments: 12
Rank 13 F-oIfNjijRQ|| PageRank Score: 0.000282826|| Category: Sports|| Length: 179|| Views: 1764|| Ratings: 8|| Rate: 4.12|| Comments: 0
Rank 14 6ocR_NzQnW8|| PageRank Score: 0.000282826|| Category: Sports|| Length: 199|| Views: 3774|| Ratings: 19|| Rate: 4.74|| Comments: 4
Rank 15 pmb71o3TL0o|| PageRank Score: 0.000282826|| Category: Sports|| Length: 236|| Views: 1547|| Ratings: 23|| Rate: 4.78|| Comments: 0
Rank 16 VJ9XUULaaiI|| PageRank Score: 0.000282826|| Category: Entertainment|| Length: 542|| Views: 3827|| Ratings: 23|| Rate: 4.17|| Comments: 17
Rank 17 p5X7myqNNUU|| PageRank Score: 0.000282826|| Category: Sports|| Length: 189|| Views: 16151|| Ratings: 68|| Rate: 4.66|| Comments: 47
Rank 18 jKx8pBf4D7I|| PageRank Score: 0.000282826|| Category: Sports|| Length: 220|| Views: 14312|| Ratings: 26|| Rate: 4.92|| Comments: 24
Rank 19 KsJoDLOIKdg|| PageRank Score: 9.75837e-05|| Category: Comedy|| Length: 30|| Views: 137|| Ratings: 0|| Rate: 0|| Comments: 2
Rank 20 LKzIemJ5wf8|| PageRank Score: 9.75837e-05|| Category: Comedy|| Length: 18|| Views: 1358|| Ratings: 7|| Rate: 3.14|| Comments: 2
Rank 21 kaesVtFyVPA|| PageRank Score: 9.35429e-05|| Category: Comedy|| Length: 18|| Views: 995|| Ratings: 2|| Rate: 5|| Comments: 0
Rank 22 bzsDkWwrvzM|| PageRank Score: 9.33418e-05|| Category: Comedy|| Length: 31|| Views: 49260|| Ratings: 166|| Rate: 4.61|| Comments: 86
Rank 23 fXrz1g7RVHI|| PageRank Score: 9.33418e-05|| Category: Comedy|| Length: 16|| Views: 453|| Ratings: 1|| Rate: 5|| Comments: 1
Rank 24 habYrlHwhsY|| PageRank Score: 9.33418e-05|| Category: Entertainment|| Length: 18|| Views: 561|| Ratings: 2|| Rate: 5|| Comments: 2
Rank 25 cz-j1NunjyA|| PageRank Score: 9.33418e-05|| Category: Comedy|| Length: 20|| Views: 399|| Ratings: 3|| Rate: 3|| Comments: 10
Rank 26 c7-Qs_th7G8|| PageRank Score: 9.33418e-05|| Category: Comedy|| Length: 16|| Views: 10021|| Ratings: 29|| Rate: 5|| Comments: 16
Rank 27 w2xAjI6HXik|| PageRank Score: 9.33418e-05|| Category: Entertainment|| Length: 35|| Views: 8686|| Ratings: 27|| Rate: 4.48|| Comments: 11
Rank 28 jEtldtQU5yE|| PageRank Score: 9.33418e-05|| Category: Comedy|| Length: 32|| Views: 3011|| Ratings: 10|| Rate: 4.7|| Comments: 4
Rank 29 zI61Wnb5zhM|| PageRank Score: 9.33418e-05|| Category: Entertainment|| Length: 34|| Views: 980|| Ratings: 5|| Rate: 5|| Comments: 1
Rank 30 sw22C2SgCIk|| PageRank Score: 9.33418e-05|| Category: Entertainment|| Length: 19|| Views: 228|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 31 ERt1CAkh3BI|| PageRank Score: 8.9301e-05|| Category: Comedy|| Length: 18|| Views: 116|| Ratings: 1|| Rate: 5|| Comments: 3
Rank 32 O6Zmo-Ct-zw|| PageRank Score: 8.91091e-05|| Category: Comedy|| Length: 18|| Views: 65|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 33 izCnnbJ9Txo|| PageRank Score: 8.91091e-05|| Category: Film|| Length: 18|| Views: 139|| Ratings: 2|| Rate: 5|| Comments: 1
Rank 34 0fp5z3gf2e0|| PageRank Score: 8.71055e-05|| Category: Sports|| Length: 331|| Views: 4469|| Ratings: 21|| Rate: 4.81|| Comments: 19
Rank 35 cjviiy5RcqE|| PageRank Score: 8.09775e-05|| Category: Sports|| Length: 595|| Views: 8873|| Ratings: 54|| Rate: 4.93|| Comments: 57
Rank 36 -MQfu0hTnWU|| PageRank Score: 7.68126e-05|| Category: Sports|| Length: 331|| Views: 7066|| Ratings: 37|| Rate: 4.95|| Comments: 19
Rank 37 CG2OWQhG5Hc|| PageRank Score: 7.61567e-05|| Category: Sports|| Length: 549|| Views: 284|| Ratings: 7|| Rate: 4.71|| Comments: 2
Rank 38 AprqZQD5uIY|| PageRank Score: 7.31194e-05|| Category: Comedy|| Length: 18|| Views: 386|| Ratings: 2|| Rate: 4.5|| Comments: 2
